,target,data,seq_len
61,1,lasker 's canny meditative script distances sex love byron luther realize ca n't get satisfaction without latter,17
62,0,nothing funny every joke has been told a thousand times movie,11
63,0,100 minutes running time 'll wait vain movie happen,9
64,0,viewed comedy romance fairy tale drama 's nothing remotely triumphant motion picture,12
65,1,low key labor love strikes resonant chord,7
66,1,invaluable historical document thanks filmmaker 's extraordinary access massoud whose charm cultivation devotion people readily apparent,16
67,1,may work jaunt memory lane teens young adults grew televised scooby doo shows reruns,14
68,1,dark gritty sometimes funny little gem,6
69,0,big whoop nothing new see zero thrills many flashbacks choppy ending make bad film,14
70,1,10 minutes film 'll white knuckled unable look away,9
71,0,'s awful recent hollywood trip tripe 's far groundbreaking endeavor,10
72,0,'s something entirely convincing quiet american holds true movie title character played brendan fraser,14
73,1,swimming young woman 's face casting actress whose face projects woman 's doubts yearnings succeeds,15
74,0,glossy knock off b movie revenge flick,7
75,0,another disjointed fairly predictable psychological thriller,6
76,0,leaks treacle every pore,4
77,0,equlibrium could pass thirteen year old 's book report totalitarian themes 1984 farenheit 451,14
78,0,'s basically overlong episode tales crypt,6
79,1,knowing sense humor lot warmth ignite son bride,8
80,0,despite talking time bloody climax arrives still n't feel enough attachment guys care one way another,16
81,0,sad thing knockaround guys lame aspiration grasping coolness vibes fact film n't flippant slick thinks,15
82,1,interesting look life campaign trail press especially ones n't really care candidate 're forced follow,15
83,0,eccentric little comic thriller deeply love quirky personality,8
84,0,feels formulaic familiar produce transgressive thrills early underground work,9
85,1,terry sort geriatric dirty harry please eastwood 's loyal fans suits story wherein hero must ride roughshod incompetent cops get man,21
86,0,strengths weaknesses play virtually stand off unfortunate trump card dreary mid section film,13
87,1,loving little film considerable appeal,5
88,0,blandly go went 8 movies ago,6
89,1,ferrara directs entire film kind detachment makes given frame look like family 's custom made christmas card,17
90,0,relentless bombastic ultimately empty world war ii action flick,9
91,1,'s rare find film adjective 'gentle ' applies word perfectly describes pauline paulette,13
92,0,may puzzle ardent fans,4
93,0,much farcical sour,3
94,0,parents beware downright movie penance,5
95,0,rainy days movies disintegration families always get,7
96,0,upper west sidey exercise narcissism self congratulation disguised tribute,9
97,0,'synthetic ' best description well meaning beautifully produced film sacrifices promise high powered star pedigree,15
98,0,cameo packed m i 2 spoofing title sequence funniest 5 minutes date spy comedy franchise mike myers shows ruins everything,20
99,1,pianist lacks quick emotional connections steven spielberg 's schindler 's list mr polanski creates images even haunting mr spielberg 's 1993 classic,22
100,0,movie filled unlikable spiteful idiots whether friendship salvaged makes difference least,11
101,0,'s gratuitous long schwentke fulfilling gross out quota anticipated audience demographic instead shaping material fit story,16
102,1,different kind love story one dark disturbing painful watch yet compelling,11
103,1,'d watch two together new york minute,7
104,1,years hollywood crafted solid formula successful animated movies ice age improves terrific computer graphics inventive action sequences droll sense humor,20
105,0,milieu wholly unconvincing histrionics reach truly annoying pitch,8
106,1,inspirational screenplay mike rich covers lot ground perhaps much ties things together neatly end,14
107,0,impulses produced project commendable results uneven,6
108,0,thing virtually unwatchable,3
109,0,initial strangeness inexorably gives way rote sentimentality mystical tenderness becomes narrative expedience,12
110,0,film makes fatal mistake asks us care young man whose apparent virtue quite unpleasant people life,16
111,1,worst screenplay callow best young artist 's thoughtful consideration fatherhood,10
112,1,filmmakers dana janklowicz mann amir mann area headed east far east retelling historically significant personal episode detailing one international city welcomed tens thousands german jewish refugees world 's democracie,29
113,1,'s piece handiwork shows indie tatters self conscious seams places quietly moving moments intelligent subtlety,15
114,0,blessed searing lead performance ryan gosling murder numbers movie powerful provocative 's also built faulty premise one follows melodrama silliness,20
115,1,sets ms birot 's film apart others genre greater attention parents particularly fateful fathers emotional evolution two bewitched adolescents,19
116,1,'s count times,3
117,1,ya yas everywhere forgive flaws love film,7
118,0,mess movie nothing short travesty transvestite comedy,7
119,1,director benoit jacquot making first opera to film translation tosca conveys heaving passion puccini 's famous love jealousy murder suicide fandango great cinematic innovation,24
120,0,parker probably thinks 's shaking classic way kenneth branagh baz luhrmann half hearted messing about makes us miss wilde 's still contemporary play,23
121,1,new time machine hardly perfect yet proves surprisingly serviceable even worst 's half bad,14
122,0,many characters saying many clever things getting many pointless situations 's movie,12
123,1,going movie little like chewing whale blubber 's acquired taste takes time enjoy 's worth even take 3 hours get,20
124,0,could n't someone take rob schneider switch bodies funny person,10
125,0,'s 88 minute highlight reel 's 86 minutes long,9
126,1,coming of age story cautionary parable also perfectly rendered period piece,11
127,1,early middle passages surprising much engage even touch us classical dramatic animated feature hip contemporary in jokey one 's sort in between works,23
128,1,people cinema finest,3
129,0,dose strong funny first 15 minutes anyway potency wanes dramatically,10
130,0,film 's hero bore innocence soon becomes questionable kind inexcusable dumb innocence,12
131,1,vividly conveys shadow side 30 year friendship two english women,10
132,1,extremely well acted four primary actors seriously intended movie easily forgotten,11
133,0,'s doubting highly ambitious personal project egoyan 's also one next best work feels clumsy convoluted,16
134,1,enlivens film beyond astute direction cardoso beautifully detailed performances actors note defiance social dictates,14
135,0,unlikable disturbing disgusting without redeeming value whatsoever,7
136,1,auteur 's ear way fears slights telegraphed blithe exchanges gives film lingering tug,13
137,0,customarily jovial air deficit flim flam inventiveness,7
138,1,ozpetek 's effort scope shape especially well executed television movie,10
139,0,camera work interesting film 's mid to low budget betrayed surprisingly shoddy makeup work,14
140,0,bore tends hammer home every one points,7
141,1,filmmakers want nothing else show us good time cheap b movie way succeed,13
142,0,woo much right make huge action sequence director long filmmakers copy saving private ryan battle scenes realizing steven spielberg got right first time,23
143,0,resembles soft porn brian de palma pastiche,7
144,1,heartwarming gently comic even film breaks heart,7
145,1,muted freak out,3
146,0,'s 20 years since 48 hrs made eddie murphy movie star man n't aged day showboating wise cracker stock persona sure getting old,23
147,1,unflappable air decadent urbanity everett remains perfect wildean actor relaxed firth displays impeccable comic skill,15
148,1,enchanting spectacular potter fans anxious ride hogwarts express toward new year magic mischief,13
149,1,complain time seeing ideas repeated films bourne identity proves fresh take always possible,13
150,1,best way describe cross paul thomas anderson 's magnolia david lynch 's mulholland dr,14
151,1,psychologically rich suspenseful moral thriller stellar performance al pacino,9
152,0,ring left cold wet like seattle drizzle without rainwear,9
153,1,movie trove delights,3
154,1,good great freeman judd make work,6
155,1,sword fighting well done auteuil goofy pleasure,7
156,1,ok arthouse power script performances come whole damned thing n't get moral hackles,13
157,0,saw knockaround guys yesterday already details faded like photographs spanish american war 's unmemorable turned ballpoint notes invisible ink,19
158,0,characters never sketches leaves true emotional connection identification frustratingly reach,10
159,0,slow silly unintentionally hilarious,4
160,1,beneath film 's obvious determination shock cost lies considerable skill determination backed sheer nerve,14
161,0,fragile framework upon hang broad mildly fleshed out characters seem conjured 10 minutes prior filming,15
162,1,missteps take otherwise fascinating riveting story send path mundane,9
163,1,makes worth watching quaid 's performance,6
164,1,four star performance kevin kline unfortunately works two star script,10
165,0,charly comes emotionally manipulative sadly imitative innumerable past love story derisions,11
166,1,strong directorial stamp every frame stylish film able visualize schizophrenia still confident enough step back look sick character sane eye,20
167,0,wes craven 's presence felt craven ' nightmare elm street ' 'the hills eyes ' sad schlock merchant 'deadly friend ',21
168,1,imax short 's wonderful big screen,6
169,0,puzzles lack emphasis music britney spears ' first movie,9
170,0,reason found finally unmoved film immaculately produced serious things say comes across rather plainly allegory,15
171,1,delightfully rendered,2
172,1,mysteries transparently obvious 's slowly paced thriller 's worth recommending two marvelous performances michael caine brendan fraser,17
173,1,chilling uncommercial look mind jeffrey dahmer serial killer,8
174,1,argento 26 brings youthful out to change the world aggressiveness project 's cut open vein bled raw film stock,19
175,1,stone seems knack wrapping theater cold blanket urban desperation,9
176,0,earnest tentative even aims shock,5
177,0,really bad much distasteful need kidnapping suspense dramas right like need doomsday thrillers,13
178,1,'s conversion effort much writing genuinely witty stars appealing enough probably good shot hollywood career want one,17
179,1,like edward norton american history x ryan gosling murder numbers delivers magnetic performance,13
180,0,film made little wit interest professionalism artistically possible slummy hollywood caper flick,12
181,1,ofrece una buena oportunidad de cultura aunque sea condensada que bien vale la pena aprovechar,15
182,0,movie cute take seriously still feels like made stoned college students,11
183,1,scores points dedicated good hearted professionalism,6
184,1,rich bittersweet israeli documentary life song and dance man pasach'ke burstein family transcends ethnic lines,15
185,0,lazy writing even kids deserve better,6
186,0,much facile technique cute ideas little movie,7
187,1,happy times maintains appealing veneer without becoming cute,8
188,0,goes show intelligent person n't necessarily admirable storyteller,8
189,1,every movie come along turns annoying specimen humanity usually dread encountering fanboy,12
190,1,shattering devastating documentary two maladjusted teens downward narcotized spiral extraordinary debut josh koury,13
191,0,tackling low budget movie inexperienced children play two main characters might best way cut teeth film industry,17
192,0,louiso lets movie dawdle classic disaffected indie film mode brother hoffman 's script stumbles late inning twist n't make sense,20
193,0,documentary much conventional lots boring talking heads etc subject matter justice,11
194,1,moves quickly adroitly without fuss n't give time reflect inanity cold war datedness premise,14
195,1,though filmed partly canada paid full clever ways capturing inner city life reagan years,14
196,1,parts seem like lifted terry gilliam 's subconscious pressed kafka 's meat grinder bu uel 's casings,17
197,0,'s hateful 's simply stupid irrelevant deeply truly bottomlessly cynical,10
198,0,home alone film staged like rosemary 's baby well conceived either films,12
199,1,surprisingly sincere average little story adorned awesome action photography surfing,10
200,0,movie 's narrative gymnastics ca n't disguise fact 's inauthentic core story n't worth telling,15
201,0,nothing less outright bodice ripper ditched artsy pretensions revelled entertaining shallows,11
202,0,stylish beautifully photographed far trouble 's worth fantasy mixing reality actors playing one role add confusion,16
203,1,preaches two completely different choirs time pretty amazing accomplishment,9
204,1,every dance becomes seduction backstabbing betrayals celebrated sex currency,9
205,0,'m afraid wo n't get frankly fantastical by the numbers b flick suspension disbelief rather 'll wrestle disbelief ground apply chloroform soaked handkerchief,23
206,0,dud made '70s would called hills antlers played three weeks drive ins,12
207,0,derailed bad writing possibly also extensive post production reworking aim film young males throes first full flush testosterone,18
208,1,thoughtful movie movie concerned souls risk schemes consequences one 's actions,11
209,1,rarely indeed almost never high wattage brainpower coupled pitch perfect acting exquisite unfakable sense cinema,15
210,1,second coming harry potter film far superior predecessor movie successfully crushes best selling novel timeframe mandates avoid godzilla sized soda,20
211,1,funny film,2
212,1,michael gerbosi 's script economically packed telling scenes,8
213,1,'s wallowing hormonal melodrama real women curves sweet honest enjoyable comedy drama young woman wants many things life fears 'll become mother gets fulfill dreams,25
214,1,uses high comedy evoke surprising poignance,6
215,0,despite fact film n't bad thought going 's still good movie,11
216,1,interacting eyeball to eyeball toe to toe hopkins norton winning combination fiennes steals 'red dragon ' right noses,18
217,1,time ends rush sequins flashbulbs blaring brass back stabbing babes said plenty show business infiltrated every corner society always better,20
218,1,human resources good straightforward tale time better 's haunting 's like poem,12
219,0,movie certainly share clever moments biting dialogue 's much lurking abstract surface,12
220,1,direction fluid no nonsense authority performances harris phifer cam'ron seal deal,11
221,1,film exhilarating watch sandler liberated constraints formula reveals unexpected depths actor,11
222,0,mawkish self parody plays like weird masterpiece theater sketch neither point view compelling reason,14
223,1,floundering way gets like igby,5
224,1,like kissing jessica stein amy 's orgasm key strength willingness explore principal characters honesty insight humor,16
225,0,might 1970s animation everything else straight saturday morning cartoons retread story bad writing old silliness,15
226,1,story rather simplistic one grief drives love drives second chance find love unlikely place struck chord,16
227,0,uneven movie charms funny moments quite enough,7
228,1,'s lovely sad dance highlighted kwan 's unique directing style,10
229,1,thoughtful reverent portrait essentially subculture rules regarding love family governance hierarchy,11
230,0,eddie murphy owen wilson cute partnership spy movie around often nearly nothing charm n't load good,16
231,0,forewarned 're depressed anything watching film may end trying drown lake afterwards,12
232,0,half composed snappy patter pseudo sophisticated cultural observations remainder would home daytime television serial,14
233,0,devoid pleasure sensuality even dubbed hedonistic,6
234,0,singularly off putting romantic comedy,5
235,0,movie insecure capacity excite churns one two flagrantly fake thunderstorms underscore action,12
236,1,spiritual rebirth bruising defeat vincent 's odyssey resonates profound way comparable classic films jean renoir,15
237,1,unexpected moments authentically impulsive humor hallmark bittersweet uncommonly sincere movie portrays frank humanity of emotional recovery,16
238,1,cartoon 's truly cinematic scope story 's compelling heartfelt even heart belongs big four legged herbivore,16
239,1,gloriously straight vagina,3
240,1,film moody oozing chilling heart warming twisting unpredictable cat and mouse thriller,12
241,1,movie n't hilarious 's witty inventive hindsight n't even dumb,10
242,1,small movie big impact,4
243,0,another example sandler losing touch,5
244,0,mcconaughey 's fun watch dragons okay much fire script,9
245,1,real women may many agendas also win big way,9
246,1,maelstrom strange compelling engrossing different moral tale twisted sense humor,10
247,0,really wonder earth anyone anywhere could thought 'd make audiences guffaw script utterly diabolical,14
248,0,matthew mcconaughey tries fails control screen swaggering machismo over the top lunacy,12
249,1,hypnotic cyber hymn cruel story youth culture,7
250,0,unremarkable modern action comedy buddy movie whose nod nostalgia title,10
251,1,reynolds takes classic story casts attractive talented actors uses magnificent landscape create feature film wickedly fun watch,17
252,1,austin powers part extremely funny first part making flaws come later,11
253,1,grant goes beyond usual fluttering stammering captures soul man pain gradually comes recognize deal,14
254,0,mawkish implausible platonic romance makes chaplin 's city lights seem dispassionate comparison,12
255,0,ponderous meditation love feels significantly longer relatively scant 97 minutes,10
256,0,oedekerk mugs mercilessly genuinely funny jokes far,7
257,0,ordinary restore harmon prominence despite creepy scenes evoke childish night terrors praiseworthy attempt generate suspense rather gross audience,18
258,1,better predecessor may rate magical fun family fare recent holiday season,11
259,1,troubling powerful,2
260,1,wife actress utterly charming french comedy feels american sensibility style 's virtually hollywood remake,14
261,1,creature feature fan knows cross toxic chemicals bunch exotic creatures get lot running around screaming death score film certainly n't disappoint,21
262,1,steven soderbergh 's 'solaris ' failure glorious failure,8
263,0,'s fitting movie artificial soulless country bears owes genesis animatronic display disneyland,12
264,1,'s fine old fashioned movie movie say 's unburdened pretensions great artistic significance,13
265,0,light engaging comedy fumbles away almost accumulated enjoyment crucial third act miscalculation,12
266,1,highbrow self appointed guardians culture need apply loved cool ice last found worthy follow up,15
267,1,movie hardly masterpiece mark ms bullock 's best work time,10
268,1,odd poetic road movie spiked jolts pop music pretty much takes place morton 's ever watchful gaze 's tribute actress inventive director journey mesmerizing one,25
269,1,one pleasures walter 's documentary parade veteran painters confounded dealers miscellaneous bohos expound upon subject 's mysterious personality without ever explaining,21
270,1,may lack pungent bite title 's enjoyable trifle nonetheless,9
271,1,fourth pokemon diverting predictable adventure suitable matinee message cautions children disturbing world 's delicate ecological balance,16
272,0,feels times like giant commercial universal studios much action takes place,11
273,1,'s single minded john carpenter 's original 's sure lot smarter unnerving sequels,13
274,0,stitch bad mannered ugly destructive little cute factor here mind ugly problem character loveable otherwise,15
275,0,respons vel direto pelo fracasso 'art stico ' de doce lar o roteirista c jay cox n o consegue sequer aproveitar os pouqu ssimos momentos em que escapa da mediocridade,30
276,0,problem idea creation going,4
277,0,director jay russell stomps hobnail boots natalie babbitt 's gentle endearing 1975 children 's novel,15
278,1,'s like rocky bullwinkle speed 's neither completely enlightening catch intensity movie 's strangeness,14
279,0,film 's needlessly opaque intro takes doe eyed crudup pre 9 11 new york onto cross country road trip homeric kind,21
280,1,cantet perfectly captures hotel lobbies two lane highways roadside cafes permeate vincent 's days,14
281,1,anchored friel williams 's exceptional performances film 's power lies complexity nothing black white,14
282,0,seriously rent disney version,4
283,1,one influential works 'korean new wave ',7
284,1,read subtitles opera sung italian like 'masterpiece theatre ' type costumes 'll enjoy movie,14
285,0,makes mistake music industry criticizes becoming slick watered down almost loses made love first place,15
286,0,reign fire never comes close recovering demented premise sustain enjoyable level ridiculousness,12
287,0,bread sweet many flaws would easy critics shred may even fall category films love hate admit hate like,18
288,0,bit derivative stand psychological thriller purports,6
289,1,casting von sydow intacto 's luckiest stroke,7
290,0,social political potential state property n't end inspiring insightful,9
291,1,mesmerizing cinematic poem first frame last,6
292,1,eric schaeffer accomplished never may strictly speaking qualify revolutionary 's defiantly delightfully grain,13
293,0,mildly amusing,2
294,1,one best rock documentaries ever wilco phenomenal band engrossing story capture minds hearts many,14
295,0,slow dry poorly cast beautifully shot,6
296,1,overall interesting documentary imaxy,4
297,0,'s surprising traditional thriller moderately successful completely satisfying exactly genteel unsurprising execution turns,13
298,1,fine documentary distinguished mediocre one better film 's ability make subject interesting n't part supposed target audience judging standards 'scratch ' pretty decent little documentary,25
299,1,life size reenactment jack chick cartoon tracts always ended hippie getting tossed lake fire,14
300,1,without bracing truth 's refreshing phoniness female bonding pictures like divine secrets ya ya sisterhood,15
301,0,movie eventually snaps strain plot contrivances need reassure,8
302,1,fans nijinsky savor every minute cox 's work,8
303,0,adults parents hard pressed succumb call wild,7
304,0,distinctly minor effort seen better advantage cable especially considering barely feature length running time one hour,16
305,0,u boat n't captain,4
306,0,clich d shallow cautionary tale hard partying lives gay men,10
307,0,'s film taken literally level focus always appears questionable,9
308,1,andersson creates world 's surreal disturbingly familiar absurd yet tremendously sad,11
309,0,though impostor deviously adopts guise modern motion picture bomb,9
310,1,unabashedly schmaltzy thoroughly enjoyable true story,6
311,1,rarely seen film willing champion fallibility human heart,8
312,1,large frame imax camera lends beautifully filming teeming life reefs making gorgeous film must everyone junior scientists grown up fish lovers,21
313,0,'s type stunt academy loves powerful political message stuffed otherwise mediocre film,12
314,1,gooding energetic frontman 's hard resist enthusiasm even filmmakers come nothing original way slapstick sequences,15
315,0,john carlen 's script full unhappy two dimensional characters anything compelling,11
316,0,pool drowned boredom,3
317,0,strenuously unfunny showtime deserves hook,5
318,1,gentle affecting melodrama luvvies raptures 's far slight introspective appeal anything wider niche audience,14
319,0,film n't convince calvin jr 's barbershop represents sort beacon hope middle chicago 's south side,16
320,1,unseemly title suggests,3
321,0,first full scale wwii flick hong kong 's john woo 's good people,13
322,1,foster breathes life roll could otherwise bland run mill,9
323,1,worthwhile way spend two hours,5
324,0,seems clear path story 's going long 's going take get,11
325,1,masterpiece four years making,4
326,0,movie starts like heathers becomes bring becomes unwatchable,8
327,0,philosophically intellectually logistically mess,4
328,0,chicken heart crush goes absurd lengths duck issues raises,9
329,0,none characters plot lines fleshed out enough build interest,9
330,0,piece mildly entertaining inoffensive fluff drifts aimlessly 90 minutes lodging cracks ever growing category unembarrassing unmemorable,16
331,1,winning ensemble comedy shows canadians put gentle laughs equally gentle sentiments button easily counterparts anywhere else world,17
332,1,fairness must report children varying ages audience never coughed fidgeted romped aisles bathroom breaks,14
333,0,culture headed toilet ferocity frozen burrito all night tequila bender know 've seen 'jackass movie ',16
334,1,raw disturbing tale took five years make trio 's absorbing narrative heart wrenching showcase indeed,15
335,1,cute funny heartwarming digitally animated feature film plenty slapstick humor kids lots in jokes adults heart enough everyone,18
336,1,peter jackson done nearly impossible improved upon first taken step richer deeper jackson done proven amount imagination creature fantasy story incredibly outlandish scenery,23
337,1,smith profiles five extraordinary american homes owners seem fully aware uses abuses fame 's pleasure enjoy eccentricities,17
338,1,level acting elevates material pat inspirational status gives sturdiness solidity 've long associated washington actor,15
339,0,director uwe boll actors provide scant reason care crude '70s throwback,11
340,1,two leads chomp considerably scenery acting fire breathing monsters barbecue breath,11
341,1,'s good hard edged stuff violent bit exploitative also nicely done morally alert street smart,15
342,0,enjoyed movie superficial way never sure purpose,7
343,0,halfway movie humor dwindles 's replaced dramatic scenes jarring deeply place could probably lighthearted comedy,15
344,0,thank saw juwanna mann n't,5
345,1,corny schmaltzy predictable still manages kind heartwarming nonetheless 's perfect kind film see n't want use brain,17
346,0,exercise cynicism every bit ugly shabby digital photography muddy sound,10
347,1,engaging simplicity driven appealing leads,5
348,1,thoughtful visually graceful work,4
349,1,director lee true cinematic knack 's also nice see movie heart thoroughly unabashedly sleeve,14
350,1,superior horror flick,3
351,0,title helpfully offers succinct review 'll read anywhere,8
352,1,aaa action xxx blast adrenalin rated eee excitement vin diesel man,11
353,1,gripping movie played performances understated touching,6
354,1,celebrates group 's playful spark nonconformity glancing vividly back hibiscus grandly called 'angels light ',15
355,0,maudlin melodramatic expected boring n't,5
356,1,melancholy emotional film,3
357,0,takes one character n't like another n't believe puts battle wills impossible care n't funny,15
358,1,rare birds enough charm make memorable,6
359,0,pint sized 'goodfellas ' designed appeal younger set 's good movie objective sense mostly hold one 's interest,18
360,0,ever movie upbeat ending feels like copout one,8
361,0,none birthday girl 's calculated events take us surprise,9
362,1,insomnia one year 's best films pacino gives one daring complicated performances,12
363,0,horrific movie experience 've since ca n't stop music may well called jar jar binks movie 's painful,18
364,1,film grows,2
365,0,average b movie aspirations anything,5
366,1,penetrating glimpse tissue thin ego stand up comic,8
367,0,story also unoriginal come already recycled times 'd care count,10
368,0,hints greater intelligence lurking somewhere ring makes stupidity obvious 's painful,11
369,1,best film year 2002,4
370,1,huskies beautiful border collie funny overall feeling genial decent,9
371,1,unlike surf movies blue crush thrillingly uses modern technology take viewer inside wave end ca n't help feel 'stoked ',20
372,0,live action cartoon fast moving cheerfully simplistic 88 minutes exaggerated action put together preteen boy mind,16
373,0,banal predictable,2
374,1,beautifully shot delicately scored powered set heartfelt performances 's lyrical endeavour,11
375,1,debut film skin man heart beast feels unusually assured,9
376,0,grows decidedly flimsier many out sized character logically porous action set pieces,12
377,0,screenwriter pimental took farrelly brothers comedy feminized rather poor imitation,10
378,1,sure 's film proves 's always bad thing,8
379,1,one liners snappy situations volatile comic opportunities richly rewarded,9
380,1,wedding feels bit anachronistic still every low budget movie must quirky bleak happy ending cinematic sin,16
381,0,bland murder on campus yawner,5
382,0,according wendigo 'nature ' loves members upper class almost much love,11
383,1,concerned sade 's ideas actions movie achieves great impact keeping thoughts hidden quills showing,14
384,0,original gangster sweating bullets worrying contract life,7
385,1,end movie 're definitely convinced women spectacular,7
386,1,original little film one young woman 's education,8
387,0,unholy mess driven pathetic idea shoot something crummy looking videotape must labelled 'hip ' 'innovative ' 'realistic ',18
388,1,dazzling dream documentary,3
389,1,'s perfect star vehicle grant allowing finally move away usual bumbling tongue tied screen persona,15
390,0,irwins emerge unscathed fictional footage unconvincing criminally badly acted,9
391,0,alarms duvall 's throbbing sincerity elderly propensity patting people talks,10
392,1,psychologically revealing,2
393,1,screen fantasy adventure recent memory showmanship clones ' last 45 minutes,11
394,1,heartwarming relies less forced air petter n ss ' delicate clever direction wonderful imaginative script axel hellstenius,17
395,0,one long string cliches,4
396,1,flick cool crowd pleasing documentary get,6
397,1,'re looking smart nuanced look de sade might happened picpus sade film,12
398,0,chuckle least 10 complete misses many coming amazingly lifelike tara reid whose acting skills comparable cardboard cutout,17
399,1,tadpole sophisticated funny good natured treat slight pleasure,8
400,0,'re target demographic movie one long chick flick slog,9
401,1,pointed often tender examination pros cons unconditional love familial duties,10
402,0,story inspired tumultuous surroundings los angeles feelings marginalization loom every dreamer burst bubble dogwalker characters ideas never manages put path,20
403,0,movie falls victim frazzled wackiness frayed satire,7
404,0,shoddy male hip hop fantasy filled guns expensive cars lots naked women rocawear clothing,14
405,1,film good viewing alternative young women,6
406,0,ga zillionth airhead movie wife distress resorts desperate measures,9
407,1,'what 's russian word wow ',6
408,0,oh 's extreme right extremely dumb extremely confusing extremely boring,10
409,1,'s good film falls short aspiration true 'epic ',9
410,0,fairly run of the mill,5
411,0,'s definitely made kids parents matter think even fans sandler 's comic taste may find uninteresting,16
412,1,one energetic surprises original pleases almost everyone sees,8
413,0,actors pull stops nearly every scene diminishing effect characters never change,11
414,1,director juan jose campanella could turned argentine retread iris american beauty instead pulls little film creates something beautiful either films,20
415,0,scorsese n't give us character worth giving damn,8
416,1,better tepid star trek insurrection falls short first contact villain could n't pick lint borg queen alice krige 's cape finishes half parsec nose ahead generations,26
417,0,film probably please people already fascinated behan leave everyone else yawning admiration,12
418,0,matter much runs around acts like doofus accepting 50 year old role creepy michael jackson sort way,17
419,1,lead performances oscar size quaid utterly fearless tortured husband living painful lie moore wonderfully underplays long suffering heroine unflappable '50s dignity somewhere jane wyman june cleaver,26
420,0,bears much resemblance experiences battered women spider man experiences teenagers,10
